TimeMeasure,Potency,Voltage,Charge,Temperature,Misc01
2020-01-11 22:54:58.0,27.0,129.0,215.0,22.0,52.0
2020-01-11 22:54:59.0,35.0,128.0,278.0,22.0,52.0
2020-01-11 22:55:01.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:55:03.0,0.0,131.0,0.0,22.0,52.0
2020-01-11 22:55:05.0,0.0,131.0,0.0,22.0,52.0
2020-01-11 22:55:06.0,0.0,132.0,0.0,22.0,52.0
2020-01-11 22:55:08.0,1.0,130.0,9.0,22.0,52.0
2020-01-11 22:55:10.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:55:11.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:55:13.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:55:15.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:55:16.0,0.0,129.0,0.0,22.0,53.0
2020-01-11 22:55:18.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:55:20.0,0.0,126.0,0.0,22.0,52.0
2020-01-11 22:55:21.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:55:23.0,0.0,131.0,0.0,22.0,52.0
2020-01-11 22:55:25.0,6.0,130.0,53.0,22.0,52.0
2020-01-11 22:55:27.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:55:28.0,0.0,129.0,0.0,22.0,53.0
2020-01-11 22:55:30.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:55:32.0,0.0,123.0,0.0,22.0,52.0
2020-01-11 22:55:33.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:55:35.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:55:37.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:55:39.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:55:40.0,0.0,128.0,0.0,22.0,53.0
2020-01-11 22:55:42.0,0.0,128.0,0.0,22.0,53.0
2020-01-11 22:55:44.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:55:46.0,0.0,131.0,0.0,22.0,52.0
2020-01-11 22:55:47.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:55:49.0,0.0,130.0,6.0,22.0,52.0
2020-01-11 22:55:51.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:55:52.0,0.0,131.0,0.0,22.0,52.0
2020-01-11 22:55:54.0,690.0,124.0,5536.0,22.0,52.0
2020-01-11 22:55:56.0,671.0,123.0,5430.0,22.0,52.0
2020-01-11 22:55:58.0,665.0,122.0,5427.0,22.0,52.0
2020-01-11 22:55:59.0,665.0,122.0,5410.0,22.0,52.0
2020-01-11 22:56:01.0,666.0,124.0,5357.0,22.0,52.0
2020-01-11 22:56:03.0,697.0,126.0,5496.0,22.0,52.0
2020-01-11 22:56:05.0,696.0,126.0,5503.0,22.0,52.0
2020-01-11 22:56:06.0,694.0,126.0,5483.0,22.0,52.0
2020-01-11 22:56:08.0,682.0,124.0,5483.0,22.0,52.0
2020-01-11 22:56:10.0,685.0,126.0,5433.0,22.0,53.0
2020-01-11 22:56:11.0,646.0,121.0,5314.0,22.0,53.0
2020-01-11 22:56:13.0,657.0,122.0,5374.0,22.0,52.0
2020-01-11 22:56:15.0,675.0,125.0,5380.0,22.0,52.0
2020-01-11 22:56:16.0,665.0,124.0,5354.0,22.0,52.0
2020-01-11 22:56:18.0,662.0,123.0,5347.0,22.0,52.0
2020-01-11 22:56:20.0,64.0,128.0,497.0,22.0,52.0
2020-01-11 22:56:21.0,0.0,131.0,0.0,22.0,52.0
2020-01-11 22:56:23.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:56:25.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:56:27.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:56:28.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:56:30.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:56:32.0,39.0,130.0,298.0,22.0,52.0
2020-01-11 22:56:33.0,37.0,130.0,285.0,22.0,52.0
2020-01-11 22:56:35.0,35.0,130.0,268.0,22.0,52.0
2020-01-11 22:56:37.0,37.0,131.0,288.0,22.0,53.0
2020-01-11 22:56:39.0,42.0,131.0,321.0,22.0,53.0
2020-01-11 22:56:40.0,48.0,131.0,371.0,22.0,53.0
2020-01-11 22:56:42.0,26.0,129.0,205.0,22.0,52.0
2020-01-11 22:56:44.0,43.0,129.0,338.0,22.0,52.0
2020-01-11 22:56:46.0,31.0,130.0,245.0,22.0,52.0
2020-01-11 22:56:47.0,23.0,130.0,182.0,22.0,52.0
2020-01-11 22:56:49.0,29.0,131.0,222.0,22.0,52.0
2020-01-11 22:56:51.0,34.0,130.0,265.0,22.0,52.0
2020-01-11 22:56:52.0,32.0,130.0,245.0,22.0,52.0
2020-01-11 22:56:54.0,22.0,130.0,169.0,22.0,52.0
